#	Year	Age	Pension Fund [BOY Bal]	Pension Fund [BOY Expenses]	Pension Fund[BOY BAL AFTER EXPENSES[]	Pension Fund [EOY Return]	Pension Fund [EOY P/L]	Pension Fund  [EOY Deposit]	Pension Fund [EOY Rebal]	Pension Fund  [EOY Net Bal]		Investment [BOY Bal]	Investment [BOY Expenses]	Investment[BOY BAL AFTER EXPENSES[]	Investment [EOY Return]	Investment [EOY P/L]	Investment  [EOY Deposit]	Investment [EOY Rebal]	Investment  [EOY Net Bal]
0	1993	45	"1,000,000"	-	"1,000,000"	0.00	0	"46,000"	0	"1,046,000"		"500,000"	0	"500,000"	0.00	0	"20,000"	0	"520,000"
1	1994	46	"1,046,000"	-	"1,046,000"	5.50	"57,530"	"47,220"	0	"1,150,750"		"520,000"	0	"520,000"	-1.54	"-8,008"	"22,000"	0	"533,992"
2	1995	47	"1,150,750"	-	"1,150,750"	5.50	"63,291"	"48,479"	0	"1,262,521"		"533,992"	0	"533,992"	34.11	"182,145"	"24,200"	0	"740,337"
3	1996	48	"1,262,521"	-	"1,262,521"	5.50	"69,439"	"49,780"	0	"1,381,739"		"740,337"	0	"740,337"	20.26	"149,992"	"26,620"	0	"916,949"
4	1997	49	"1,381,739"	-	"1,381,739"	5.50	"75,996"	"51,123"	0	"1,508,857"		"916,949"	0	"916,949"	31.01	"284,346"	"29,282"	0	"1,230,577"
5	1998	50	"1,508,857"	-	"1,508,857"	5.50	"82,987"	"52,510"	0	"1,644,354"		"1,230,577"	0	"1,230,577"	26.67	"328,195"	"32,210"	0	"1,590,982"
6	1999	51	"1,644,354"	-	"1,644,354"	5.50	"90,439"	"13,401"	0	"1,748,195"		"1,590,982"	"-264,666"	"1,326,316"	19.53	"259,030"	0	0	"1,585,345"
7	2000	52	"1,748,195"	-	"1,748,195"	5.50	"96,151"	"14,071"	0	"1,858,416"		"1,585,345"	"-80,796"	"1,504,549"	-10.14	"-152,561"	0	0	"1,351,988"
8	2001	53	"1,858,416"	-	"1,858,416"	5.50	"102,213"	"14,775"	0	"1,975,404"		"1,351,988"	"-96,731"	"1,255,257"	-13.04	"-163,686"	0	0	"1,091,572"
9	2002	54	"1,975,404"	-	"1,975,404"	5.50	"108,647"	"15,513"	0	"2,099,564"		"1,091,572"	"-92,437"	"999,135"	-23.37	"-233,498"	0	0	"765,637"
10	2003	55	"2,099,564"	"-95,956"	"2,003,608"	5.50	"110,198"	"15,824"	"-1,200,457"	"929,173"		"765,637"	0	"765,637"	26.38	"201,975"	0	"1,200,457"	"2,168,069"
11	2004	56	"929,173"	"-102,647"	"826,526"	5.50	"45,459"	"16,140"	0	"888,125"		"2,168,069"	0	"2,168,069"	8.99	"194,909"	0	0	"2,362,979"
12	2005	57	"888,125"	"-106,517"	"781,607"	5.50	"42,988"	"16,463"	0	"841,059"		"2,362,979"	0	"2,362,979"	3.00	"70,889"	0	0	"2,433,868"
13	2006	58	"841,059"	"-188,193"	"652,865"	5.50	"35,908"	"16,792"	0	"705,565"		"2,433,868"	0	"2,433,868"	13.62	"331,493"	0	0	"2,765,361"
14	2007	59	"705,565"	"-114,836"	"590,729"	5.50	"32,490"	"17,128"	0	"640,347"		"2,765,361"	0	"2,765,361"	3.53	"97,617"	0	0	"2,862,978"
15	2008	60	"640,347"	"-119,304"	"521,043"	5.50	"28,657"	"17,470"	0	"567,170"		"2,862,978"	0	"2,862,978"	-38.49	"-1,101,960"	0	0	"1,761,018"
